IPO Name: Foce India Ltd. IPO, Issue Size: 0.0, Price: 225.0, Status: listed, Scraped At: 2026-01-05 10:12:13.952569
IPO Name: Data Patterns (India) Ltd. IPO, Issue Size: 0.0, Price: 585.0, Status: listed, Scraped At: 2026-01-05 10:12:13.952101
IPO Name: Euro Panel Products Ltd. IPO, Issue Size: 0.0, Price: 70.0, Status: listed, Scraped At: 2026-01-05 10:12:13.951649
IPO Name: HP Adhesives Ltd. IPO, Issue Size: 0.0, Price: 274.0, Status: listed, Scraped At: 2026-01-05 10:12:13.951171
IPO Name: Supriya Lifescience Ltd. IPO, Issue Size: 0.0, Price: 274.0, Status: listed, Scraped At: 2026-01-05 10:12:13.950690
IPO Name: Clara Industries Ltd. IPO, Issue Size: 0.0, Price: 43.0, Status: listed, Scraped At: 2026-01-05 10:12:13.950151
IPO Name: Wherrelz IT Solutions Ltd. IPO, Issue Size: 0.0, Price: 171.0, Status: listed, Scraped At: 2026-01-05 10:12:13.948626
IPO Name: Vivo Collaboration Solutions Ltd. IPO, Issue Size: 0.0, Price: 82.0, Status: listed, Scraped At: 2026-01-05 10:12:13.947969
IPO Name: Brandbucket Media & Technology Ltd. IPO, Issue Size: 0.0, Price: 55.0, Status: listed, Scraped At: 2026-01-05 10:12:13.947192
IPO Name: CMS Info Systems Ltd. IPO, Issue Size: 0.0, Price: 216.0, Status: listed, Scraped At: 2026-01-05 10:12:13.946647
IPO Name: AB Cotspin India Ltd. IPO, Issue Size: 0.0, Price: 35.0, Status: listed, Scraped At: 2026-01-05 10:12:13.946002
IPO Name: Ascensive Educare Ltd. IPO, Issue Size: 0.0, Price: 26.0, Status: listed, Scraped At: 2026-01-05 10:12:13.938816
IPO Name: Timescan Logistics (India) Ltd. IPO, Issue Size: 0.0, Price: 51.0, Status: listed, Scraped At: 2026-01-05 10:12:13.938187
IPO Name: Fabino Life Sciences Ltd. IPO, Issue Size: 0.0, Price: 36.0, Status: listed, Scraped At: 2026-01-05 10:12:13.937618
IPO Name: Phytochem Remedies (India) Ltd. IPO, Issue Size: 0.0, Price: 0.0, Status: upcoming, Scraped At: 2026-01-05 10:05:54.067490
IPO Name: ICICI Securities, Issue Size: 0.0, Price: 520.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.022094
IPO Name: Apollo Micro Systems, Issue Size: 0.0, Price: 275.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.021757
IPO Name: Aster DM Healthcare, Issue Size: 0.0, Price: 190.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.021471
IPO Name: Hindustan Aeronautics, Issue Size: 0.0, Price: 1215.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.021171
IPO Name: Bharat Dynamics, Issue Size: 0.0, Price: 428.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.020889
IPO Name: Newgen Software, Issue Size: 0.0, Price: 245.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.020608
IPO Name: Galaxy Surfactants, Issue Size: 0.0, Price: 1480.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.020344
IPO Name: Karda Construction, Issue Size: 0.0, Price: 180.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.020004
IPO Name: Sandhar Technologies, Issue Size: 0.0, Price: 332.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.019724
IPO Name: H.G. Infra, Issue Size: 0.0, Price: 270.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.019427
IPO Name: Amber Enterprises, Issue Size: 0.0, Price: 859.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.019098
IPO Name: Bandhan Bank, Issue Size: 0.0, Price: 375.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.018829
IPO Name: Lemon Tree Hotels, Issue Size: 0.0, Price: 56.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.018560
IPO Name: Mishra Dhatu Nigam, Issue Size: 0.0, Price: 90.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.018284
IPO Name: Indostar Capital, Issue Size: 0.0, Price: 572.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.017971
IPO Name: RITES, Issue Size: 0.0, Price: 185.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.017697
IPO Name: Fine Organics, Issue Size: 0.0, Price: 783.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.017411
IPO Name: Varroc, Issue Size: 0.0, Price: 967.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.017084
IPO Name: TCNS, Issue Size: 0.0, Price: 716.0, Status: upcoming, Scraped At: 2026-01-05 07:26:28.016763
IPO Name: Pace E-Commerce Ventures Ltd. IPO, Issue Size: 0.0, Price: 103.0, Status: listed, Scraped At: 2026-01-05 07:25:52.355566
